NewHash(v1.38),BaseHash
470555300D10B2A5,E544790FBAA57D4F
238DB2A2C23EE9EF,A12BCF836724905A
9DE327631295B4C2,32FBDF1C2B7942F9
A33CDCCDA663159E,16371AB7527A7757
0A794A5A57F8DF91,557C9CA8FCC667DF
2A70BAE8883E4C81,09C4C80EA1D5B2F7
1D08B970013C34B6,F53829643801155A
919BE13EED931959,373635EFD76DFAB3
CC9AA18DCC7084F4,C5C646198F437230
E1EF3C1216AFF2CD,CA089CD1A17D76DF
AF35D0D2583051B0,170478CC84C8AE2F
428CA6DBD1094446,A2C015B68CE01357
1A9205C1B9EE827F,3CBE9F07524C242D
EA1C610A04DB6BBB,4603196EEEA2355C
2497C4717C8B881E,89E171705EA920DA
7DD959874C1FD534,42F3C85A00B4FC7B
9F8AA94D6D97DBF4,BE91B077ADADE97F
9D64D7405520E3D3,05D0B763CEEA9ABD
0027501B9F3B407E,58D4F7C6214FFC91
B0F7F8663821D9C3,DE7E9AF51E2E18EB
6F8838D03D1DC226,94F284E4B5633B45
65499865FCA6E5EC,5699E9B3CCDEC570
9BA001CB45CBF627,75515BFBBD0CE6D4
160AA1B32F6139B8,8E492A20859BE285
23F8F5FC7E8C4A6B,65C60F47A52ECB92
C9D55B1A358A5BF7,20799DE10C73159E
28D3FED7190D3A0B,2AB8EC6521549BAD
1A5AA1208AF5DB59,6FF312B4049B4865
E532F5D78798DAAB,824F744352C8BC82
176CECF6F920D707,B154967CB3B9C1CF
D3BD40951412FEF6,068BDE31F7D112BB
D031A9162D01088C,0EC2B29D4172D225
3841422E9C488D8C,8D5B447F21217223
E8854A4326B9E12B,5C679902079A7E80
93B93A37987F1F3D,12D312F073772E84
EA47FE3719165B94,4261814A9A26E86F
39E72BC99E6360CB,1BBD0A5729AB1226
5ABA3986D90D8A3B,8A1AC8EBC73850C8
00A9010CFE1E3533,507B30DD5CDF782F
1F0B79228E461EC9,698F51FB33ADAF7B
346D81500D088F42,4598B7969D5B0A28
509D5878EB39E842,795434E153F90E41
3F428D08BE5AAE31,A79DFB802C09F5F5
6B9BBD38AB0796DF,0F1058706D5A58B4
539E0AE3E6634B9F,04F4D55F2C0C756D
69F4BE8C8CC4796C,8ADA462BC5F42FD8
77F1BEB8863288D5,4E8DA737B686529A
17FFC1B2BA35A494,83B12E293561B796
34616828CD07F1A1,7F716EA884E75E49
961AC54BF0613F5D,3211C35423263392
A9C8960E8684C1B5,EC7D41CF790FC6FB
63F58F7C80513AAD,1D7A4E9E23D306D6
98EFA132A4117BE1,7A4EA1D3F050E568
15D3A79D4E44B913,45B1B4E55BF15523
F66A602F829E2A06,F9135F131C423364
88A741E44A2B3495,D17A6DB35E21C90C
